NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT07110259,non small cell lung caner,Pneumonyssus caninum (organismo),C0323601,Pneumonyssus caninum
NCT07251114,esophageal cancer stage,"stage, esophageal cancer",C0280257,"stage, esophageal cancer"
NCT07165730,type 2 diabetes mellitus (t2dm),T2DM - Type 2 Diabetes mellitus,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT07153315,"arthritis, rheumatoid (ra)",RA - Rheumatoid arthritis,C0003873,Rheumatoid Arthritis
NCT04883567,dyspepsia,Dyspepsia,C0013395,Dyspepsia
NCT04892329,pancreatic cancer,PANCREATIC CANCER,C0235974,Pancreatic carcinoma
NCT07116902,type 2 diabetes,Type 2 Diabetes,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT04016987,type 1 diabetes,Type 1 Diabetes,C0011854,"Diabetes Mellitus, Insulin-Dependent"
NCT06945159,medical student,Medical Student,C0038495,"Students, Medical"
NCT06596993,community-dwelling older adults,Older adults,C0001792,Elderly (population group)
NCT05890716,cardiomyopathies,Cardiomyopathies,C0878544,Cardiomyopathies
NCT06799793,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT05175690,covid19,COVID19,C5203670,COVID-19 Virus Disease
NCT07086547,fever; pediatric fever management; parental anxiety,discussed concerns about fevers (treatment),C2095516,discussed concerns about fevers
NCT06999447,nursing education research,Nursing Education Research,C0028685,Nursing Education Research
NCT03766737,ophthalmopathy,ophthalmopathy,C0015397,Disorder of eye
NCT06712160,number of root canals,Root canal length,C0429147,Root canal length
NCT05836246,chronic liver disease,Chronic liver disease,C0341439,Chronic liver disease
NCT06791473,tumor,Tumor,C0027651,Neoplasms
NCT02748044,cataract,Cataract,C0086543,Cataract
NCT05817279,basal cell carcinoma,Basal cell carcinoma,C0007117,Basal cell carcinoma
NCT07326358,nasopharyngeal neoplasms,Nasopharyngeal Neoplasms,C0027439,Nasopharyngeal Neoplasms
NCT04307030,congenital heart disease in children,Congenital heart disease in children,C3825297,Congenital heart disease in children
NCT05683899,hospital admission,Hospital admission,C0184666,Hospital admission
NCT04132401,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT06268392,fetal growth retardation,Fetal Growth Retardation,C0015934,Fetal Growth Retardation
NCT06018545,intracranial hemorrhages,intracranial hemorrhages,C0151699,Intracranial Hemorrhage
NCT03400514,cancer,Cancer,C0006826,Malignant Neoplasms
NCT07293078,critical illness,Critical Illness,C0010340,Critical Illness
