NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT04040114,melanoma (skin),"Skin, Melanoma",C0151779,Cutaneous Melanoma
NCT06469671,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT06675266,brain malformation,Brain malformation,C0266449,Congenital anomaly of brain
NCT06211218,corneal disease,Corneal Disease,C0010034,Corneal Diseases
NCT05318599,"pulmonary disease, chronic obstructive","Pulmonary Disease, Chronic Obstructive",C0024117,Chronic Obstructive Airway Disease
NCT06412900,renal colic,Renal Colic,C0152169,Renal Colic
NCT05631015,atrophic gastritis,Atrophic gastritis,C0017154,"Gastritis, Atrophic"
NCT06317181,ultrasonography,Ultrasonography,C0041618,Ultrasonography
NCT05987670,heart valve diseases,Heart Valve Diseases,C0018824,Heart valve disease
NCT04921488,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT05870332,colonic adenoma,Colonic Adenoma,C4551463,Colon adenoma
NCT05231824,weight loss,Weight Loss,C1262477,Weight Loss
NCT06715488,peripheral spondyloarthritis,Peripheral spondyloarthritis,C4511579,Peripheral spondyloarthritis
NCT07018973,creative thinking,Creative Thinking,C0010297,Creativity
NCT04879563,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT05754229,colorectal adenoma,Colorectal adenoma,C1302401,Adenoma of large intestine
NCT05171634,dysplasia,Dysplasia,C0334044,Dysplasia
NCT06013137,anxiety,Anxiety,C0003467,Anxiety
NCT04294355,colon polyp,COLON POLYP,C0009376,Colonic Polyps
NCT02801877,anxiety,Anxiety,C0003467,Anxiety
NCT05515679,"dementia, vascular","Dementia, Vascular",C0011269,"Dementia, Vascular"
NCT05810428,trigeminal nerve diseases,Trigeminal Nerve Diseases,C0152177,Trigeminal Nerve Disorder
NCT05058690,diabetes mellitus,diabetes mellitus,C0011849,Diabetes Mellitus
NCT06954753,pancreatic cystic lesions,Pancreatic Cystic Lesion,C5856176,Pancreatic Cystic Lesion
NCT06334796,guillain-barre syndrome,Guillain-Barre Syndrome,C0018378,Guillain-Barre Syndrome
NCT05558605,valve heart disease,valve heart disease,C0018824,Heart valve disease
NCT06299449,dental implant failed,Dental implant failed,C0854568,Dental implant failed
NCT05118035,intensity care,care by level of intensity,C0814458,care by level of intensity
NCT06216405,colon polyp,COLON POLYP,C0009376,Colonic Polyps
NCT07025096,acute respiratory distress syndrome (ards),ARDs - Acute respiratory distress syndrome,C0035222,"Respiratory Distress Syndrome, Adult"
NCT06883669,joint diseases,Joint Diseases,C0022408,Arthropathy
NCT06135506,dental implant failure nos,Dental implant failure NOS,C1955811,Dental implant failure NOS
NCT07162753,class ii div 1 malocclusion,Class II div 1 malocclusion,C0399524,"Malocclusion, Angle Class II, Division 1"
NCT06910956,health screening,Health screening,C0220908,Screening procedure
NCT06662708,prostate intraductal carcinoma,Prostate Intraductal Carcinoma,C5205726,Prostate Intraductal Carcinoma
NCT04576416,skin cancer,skin cancer,C0007114,Malignant neoplasm of skin
NCT05275556,colon polyp,COLON POLYP,C0009376,Colonic Polyps
NCT06438393,coronary atheroscleroses,Coronary Atheroscleroses,C0010054,Coronary Arteriosclerosis
NCT06040710,colorectal adenoma,Colorectal adenoma,C1302401,Adenoma of large intestine
NCT07066891,type 2 diabetes,Type 2 Diabetes,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT05034185,colonic neoplasms,Colonic Neoplasms,C0009375,Colonic Neoplasms
NCT04721444,covid19,COVID19,C5203670,COVID-19 Virus Disease
NCT07019116,primary care patients with chronic conditions,Primary health condition:Find:Pt:^Patient:Nom,C4019130,Primary health condition:Find:Pt:^Patient:Nom
NCT06779422,autism spectrum disorder (asd),Autism Autism spectrum disorder,C5936345,Autism Autism spectrum disorder
NCT07010991,student engagement,student involvement,C0681392,student involvement
NCT04859530,hpv,HPV,C0021344,human papillomavirus
NCT06258798,dental caries,Dental caries,C0011334,Dental caries
NCT07066046,adenomatous polyposis,Adenomatous polyposis,C0032580,Adenomatous Polyposis Coli
NCT07317661,cataract extraction,Cataract Extraction,C0007389,Cataract Extraction
NCT06792110,"hearing loss, sensorineural","Hearing Loss, Sensorineural",C0018784,Sensorineural Hearing Loss (disorder)
NCT06281392,dysplasia,Dysplasia,C0334044,Dysplasia
NCT06449742,osteoporosis,Osteoporosis,C0029456,Osteoporosis
NCT06767709,cardiac arrest due to underlying cardiac condition,cardiac arrest due to underlying cardiac condition,C2882263,cardiac arrest due to underlying cardiac condition
NCT05573308,misaligned teeth,Misaligned teeth,C3277349,Misaligned teeth
NCT06452004,cervix cancer,Cervix Cancer,C0302592,Cervix carcinoma
NCT07220304,atherosclerosis,ATHEROSCLEROSIS,C0003850,Arteriosclerosis
NCT04710615,geriatric disease,geriatric disorder,C0679383,geriatric disorder
NCT05643664,frequency of ischemic complications,cardiovascular surgery result: ischemic burden,C2024898,cardiovascular surgery result: ischemic burden
NCT03899623,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT04675138,esophageal cancer,esophageal cancer,C0014859,Esophageal Neoplasms
NCT06276478,dental phobia,Dental phobia,C0085380,Dental Anxiety
NCT07330362,chronic kidney disease,Chronic Kidney Disease,C1561643,Chronic Kidney Diseases
NCT06741332,stroke acute,stroke acute,C0751956,Acute Cerebrovascular Accidents
NCT07273513,diabete mellitus,diabete mellitus,C0011849,Diabetes Mellitus
NCT06767111,pap,Pap,C0021002,Immunoenzyme Techniques
NCT05824546,lumbar puncture,Lumbar puncture,C0037943,Spinal Puncture
NCT06760494,microvascular invasion (mvi),tumor microinvasivo,C0205622,Microinvasive tumor
NCT06450938,endodontic underfill,Endodontic underfill,C1719523,Endodontic underfill
NCT06183970,hemiparesis,Hemiparesis,C0018989,Hemiparesis
NCT06685367,intensive care,intensive care,C0085559,intensive care
NCT04643626,malnutrition; protein,malnutrition; protein,C0022806,Kwashiorkor
NCT07246018,orthodontic,Orthodontic,C0332276,Orthodontic
NCT04723758,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT06589154,benign prostatic hyperplasia,Benign Prostatic Hyperplasia,C1704272,Benign Prostatic Hyperplasia
NCT06302686,older adults,Older adults,C0001792,Elderly (population group)
NCT07234539,large language models,Large Language Models,C5940609,Large Language Models
NCT05978986,telangiectasia,Telangiectasia,C0039446,Telangiectasis
NCT04255615,in vitro fertilization (ivf),in vitro fertilization (IVF),C0015915,Fertilization in Vitro
NCT06462989,structural heart disease,heart disease structural disorder,C1290384,Structural disorder of heart
NCT05459428,confocal laser endomicroscopy,Confocal Laser Endomicroscopy,C3889414,Confocal Laser Endomicroscopy
NCT04894708,colonoscopic control after polypectomy,Colonoscopic control of bleeding,C3697265,Colonoscopic control of bleeding
NCT05167058,tachycardia,Tachycardia,C0039231,Tachycardia
NCT05414448,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT07318922,oral leukoplakia,oral leukoplakia,C0023532,"Leukoplakia, Oral"
NCT05204186,comorbidity,Comorbidity,C0009488,Comorbidity
NCT07329699,chronic coronary syndrome,Chronic coronary syndrome,C5442425,Chronic coronary syndrome
NCT05202626,image-guided biopsy,Image-Guided Biopsy,C0456852,Image-Guided Biopsy
NCT06637293,structural heart disease,heart disease structural disorder,C1290384,Structural disorder of heart
NCT06298474,alzheimer disease,Alzheimer Disease,C0002395,Alzheimer's Disease
NCT06253065,lymphatic metastasis,Lymphatic Metastasis,C0024232,Lymphatic Metastasis
NCT05653063,cancer head neck,cancer head neck,C0278996,Malignant Head and Neck Neoplasm
NCT05797207,microbiota,Microbiota,C1000792,Microbiota <Cupressaceae>
NCT04313946,"pneumonia, viral","Pneumonia, Viral",C0032310,"Pneumonia, Viral"
NCT06325514,oral lichen planus,Oral lichen planus,C0206139,"Lichen Planus, Oral"
NCT06002373,reverse overjet,Reverse overjet,C0399527,Reverse overjet
NCT06199193,gut microbiota,Gut Microbiota,C2985398,Intestinal Microbiome
NCT05795725,microbiota,Microbiota,C1000792,Microbiota <Cupressaceae>
NCT05237310,adenoma,Adenoma,C0001430,Adenoma
NCT05790473,brain malformation,Brain malformation,C0266449,Congenital anomaly of brain
NCT06827132,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT03775811,histology,Histology,C0019638,Histology
NCT06876259,upper respiratory infection,Upper respiratory infection,C0041912,Upper Respiratory Infections
NCT06762704,preimplantation genetic testing (pgt),pre-implantation genetic testing,C5822056,pre-implantation genetic testing
NCT05080088,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT06615609,hypertension,Hypertension,C0020538,Hypertensive disease
NCT06517979,lymphatic metastasis,Lymphatic Metastasis,C0024232,Lymphatic Metastasis
NCT05318495,colo-rectal cancer,colo-rectal cancer,C0009402,Colorectal Carcinoma
NCT04699864,diabetic macular edema,Diabetic macular edema,C0730285,Macular edema due to diabetes mellitus
NCT04620668,diabetes,Diabetes,C0011847,Diabetes
NCT03685240,fall injury,fall injury,C0085639,Falls
NCT05243121,magnetic resonance imaging,Magnetic Resonance Imaging,C0024485,Magnetic Resonance Imaging
NCT07338643,black stools,Black stools,C0025222,Melena
NCT05603923,anxiety,Anxiety,C0003467,Anxiety
NCT04332055,"arthroplasty, replacement, knee","Arthroplasty, Replacement, Knee",C0086511,Knee Replacement Arthroplasty
NCT07113223,cardiovascular risk factors,Cardiovascular Risk Factors,C0850624,Heart Disease Risk Factors
NCT04969822,infertility,Infertility,C0021359,Infertility
NCT06229301,myopic astigmatism,Myopic Astigmatism,C2363771,Myopic Astigmatism
NCT04359355,polyp of colon,Polyp of colon,C0009376,Colonic Polyps
NCT04524104,anxiety,Anxiety,C0003467,Anxiety
NCT05858892,rehabilitation programs,rehabilitation program,C0034991,Rehabilitation therapy
NCT05956886,insomnia,Insomnia,C0917801,Sleeplessness
NCT06622967,female,female,C0043210,Woman
NCT03214627,end stage renal disease,End stage renal disease,C0022661,"Kidney Failure, Chronic"
NCT06213896,age-related macular degeneration,age-related macular degeneration,C0242383,Age related macular degeneration
NCT06998979,"molar, third","Molar, Third",C0026369,Structure of wisdom tooth
NCT04510545,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT01338116,health-care acquired infections,Health Care Associated Infections,C0010356,Cross Infection
NCT06574438,nursing home,Nursing Home,C0028688,Nursing Homes
NCT07263724,patient education,Patient Education,C0030688,Patient education (procedure)
NCT04958577,lower respiratory system conditions,Lower respiratory disorder,C1290325,Disorder of lower respiratory system
NCT05681949,fibrolamellar hepatocellular carcinoma,Fibrolamellar Hepatocellular Carcinoma,C0334287,Fibrolamellar Hepatocellular Carcinoma
NCT05533190,anxiety,Anxiety,C0003467,Anxiety
NCT05644730,"diabetes mellitus, type 2","Diabetes Mellitus, Type 2",C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT04869618,gastric intestinal metaplasia,Gastric intestinal metaplasia,C0267187,Gastric intestinal metaplasia
NCT06874647,artificial intellegence,Intellektualisering,C0679086,Intellectualization
NCT07069647,diabetic retinopathy (dr),DR - Diabetic retinopathy,C0011884,Diabetic Retinopathy
NCT05955625,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT05953948,self efficacy,Self Efficacy,C0600564,Self Efficacy
NCT06552247,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT07179185,cardiovascular abnormalities,Cardiovascular Abnormalities,C0243050,Cardiovascular Abnormalities
NCT05680090,eye diseases,Eye Diseases,C0015397,Disorder of eye
NCT05126173,basal cell carcinoma,Basal cell carcinoma,C0007117,Basal cell carcinoma
NCT05077722,attention-deficit hyperactivity,Attention deficit-hyperactivity,C1399930,Attention deficit-hyperactivity
NCT05896709,subfertility,Subfertility,C0729353,Subfertility
NCT07185984,male fertility,Male fertility,C1955321,Male fertility
NCT06540196,non small cell lung cancer,non small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma
NCT05594576,adenoma,Adenoma,C0001430,Adenoma
NCT03621462,basal cell carcinoma of the skin,basal cell carcinoma of the skin,C4721806,Skin Basal Cell Carcinoma
NCT04325815,adenoma colon,adenoma colon,C4551463,Colon adenoma
NCT06887582,alveolar bone loss,Alveolar Bone Loss,C0002382,Alveolar Bone Loss
NCT04455568,percutaneous transluminal coronary angioplasty,Percutaneous Transluminal Coronary Angioplasty,C2936173,Percutaneous Transluminal Coronary Angioplasty
NCT04123678,non-melanoma skin cancer,Non-Melanoma Skin Cancer,C0699893,Skin carcinoma
NCT06305364,gastrointestinal microbiome,Gastrointestinal Microbiome,C4018878,Gastrointestinal Microbiome
NCT05963724,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT05611151,adenoma colon,adenoma colon,C4551463,Colon adenoma
NCT07296575,thyroid,Thyroid,C0040128,Thyroid Diseases
NCT05459545,innocent murmurs,Innocent Murmurs,C0232255,Innocent Murmurs
NCT05176899,innocent murmurs,Innocent Murmurs,C0232255,Innocent Murmurs
NCT05064124,adenoma colon,adenoma colon,C4551463,Colon adenoma
NCT05383053,mild cognitive impairment,Mild Cognitive Impairment,C1270972,Mild cognitive disorder
NCT06862414,oral cancer,Oral Cancer,C0153381,Malignant neoplasm of mouth
NCT06612281,colorectal cancer (crc),Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT05734820,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT04441580,colonic adenocarcinoma,Colonic adenocarcinoma,C0338106,Adenocarcinoma of colon
NCT06321614,polyp of colon,Polyp of colon,C0009376,Colonic Polyps
NCT05646186,irritable bowel syndrome with diarrhea,Irritable bowel syndrome with diarrhea,C0348898,Irritable bowel syndrome with diarrhea
NCT06686251,lung injury,Lung Injury,C0273115,Lung Injury
NCT06647264,"cholecystectomy, laparoscopic","Cholecystectomy, Laparoscopic",C0162522,"Cholecystectomy, Laparoscopic"
NCT06641258,satisfaction,Satisfaction,C0242428,Satisfaction
NCT05240625,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT06715384,colorectal adenoma,Colorectal adenoma,C1302401,Adenoma of large intestine
NCT06341634,"distress, emotional","Distress, Emotional",C0815107,Psychological Distress
NCT05813080,prevention,Prevention,C0199176,Prophylactic treatment
NCT05542030,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT05509049,annual visit,Annual visit,C5396442,Annual visit
NCT05471882,postoperative complications,Postoperative Complications,C0032787,Postoperative Complications
NCT06735547,knee osteoarthritis (oa),OA - Osteoarthritis of knee,C0409959,"Osteoarthritis, Knee"
NCT06725147,perceived stress,Perceived stress,C5934430,Perceived stress
NCT06582407,surgery-complications,Surgery--Complications,C3825618,Surgery--Complications
NCT06534164,mild cognitive impairment,Mild Cognitive Impairment,C1270972,Mild cognitive disorder
NCT05893420,septicemia,Septicemia,C0036690,Septicemia
NCT05018715,acute myocardial infarction,Acute myocardial infarction,C0155626,Acute myocardial infarction
NCT03662802,cardiac arrest,Cardiac Arrest,C0018790,Cardiac Arrest
NCT07163754,testicular,testicular,C0205070,Testiculo-
NCT06771830,sepsis,Sepsis,C0036690,Septicemia
NCT00564122,congenital heart disease,Congenital Heart Disease,C0018798,Congenital Heart Defects
NCT06238180,abdominal sepsis,Abdominal sepsis,C1112209,Abdominal Infection
NCT05968898,"pulmonary nodule, solitary","Pulmonary Nodule, Solitary",C2350019,Solitary Pulmonary Nodule
NCT05884697,papillomavirus vaccines,Papillomavirus Vaccines,C1721102,Papillomavirus Vaccines
NCT05745103,anxiety disorders,Anxiety Disorders,C0003469,Anxiety Disorders
NCT04885062,sleep architecture,Sleep pattern,C0474396,Sleep behavior finding
NCT04349787,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT06595602,intensive care medicine,Intensive Care Medicine,C1319411,Critical care medicine specialty
NCT06470776,smoking cessation,Smoking Cessation,C0085134,Cessation of smoking
NCT05056376,hyperglycemia,Hyperglycemia,C0020456,Hyperglycemia
NCT05214131,nocturnal enuresis,Nocturnal Enuresis,C0270327,Bedwetting
NCT06053515,postpartum depression,Postpartum depression,C0221074,"Depression, Postpartum"
NCT07321262,brain tumors,Brain Tumors,C0006118,Brain Neoplasms
NCT04982627,"opioid use disorder, severe","Opioid use disorder, severe",C4237239,"Opioid use disorder, severe"
